item_id,domain,evidence_text,source_name,source_page,source_url,date_time,location,claim_text,label,claim_type
weather_001_S,weather,"Met Office forecast for Newcastle upon Tyne: Sunny day, 10.42°C, wind 2.8 mph, 1% chance of precipitation at 2026-04-13T11:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T11:00Z,Newcastle upon Tyne,Newcastle is forecast to have a sunny day with a very low chance of rain at 11am on 13 April 2026.,Supported,direct_support
weather_001_R,weather,"Met Office forecast for Newcastle upon Tyne: Sunny day, 10.42°C, wind 2.8 mph, 1% chance of precipitation at 2026-04-13T11:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T11:00Z,Newcastle upon Tyne,Newcastle is forecast to have overcast conditions and heavy rain at 11am on 13 April 2026.,Refuted,negation
weather_001_N,weather,"Met Office forecast for Newcastle upon Tyne: Sunny day, 10.42°C, wind 2.8 mph, 1% chance of precipitation at 2026-04-13T11:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T11:00Z,Newcastle upon Tyne,Newcastle is forecast to have a sunny day at 11am on 13 April 2026 with parakeets expected to fly over.,Not Enough Evidence,unsupported_extra_detail
weather_002_S,weather,"Met Office forecast for Newcastle upon Tyne: Light rain, 12.76°C, wind 3.09 mph, 57% chance of precipitation at 2026-04-14T14:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T14:00Z,Newcastle upon Tyne,Newcastle is forecast to have light rain with a better-than-even chance of precipitation at 2pm on 14 April 2026.,Supported,approximate_paraphrase
weather_002_R,weather,"Met Office forecast for Newcastle upon Tyne: Light rain, 12.76°C, wind 3.09 mph, 57% chance of precipitation at 2026-04-14T14:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T14:00Z,Newcastle upon Tyne,Newcastle is forecast to have dry and clear conditions with no rain at 2pm on 14 April 2026.,Refuted,negation
weather_002_N,weather,"Met Office forecast for Newcastle upon Tyne: Light rain, 12.76°C, wind 3.09 mph, 57% chance of precipitation at 2026-04-14T14:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T14:00Z,Newcastle upon Tyne,Newcastle is forecast to have light rain with a 57% chance of precipitation at 8pm on 14 April 2026.,Not Enough Evidence,time_mismatch
weather_003_S,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 13.35°C, wind 3.64 mph, 16% chance of precipitation at 2026-04-14T15:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T15:00Z,Newcastle upon Tyne,Newcastle is expected to be cloudy with around a one-in-six chance of rain at 3pm on 14 April 2026.,Supported,approximate_paraphrase
weather_003_R,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 13.35°C, wind 3.64 mph, 16% chance of precipitation at 2026-04-14T15:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T15:00Z,Newcastle upon Tyne,Newcastle is forecast to have sunny spells with no chance of rain at 3pm on 14 April 2026.,Refuted,negation
weather_003_N,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 13.35°C, wind 3.64 mph, 16% chance of precipitation at 2026-04-14T15:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T15:00Z,Newcastle upon Tyne,Newcastle is expected to be cloudy with a 16% chance of rain at 6pm on 14 April 2026.,Not Enough Evidence,time_mismatch
weather_004_S,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 13.08°C, wind 4.78 mph, 10% chance of precipitation at 2026-04-14T16:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T16:00Z,Newcastle upon Tyne,Newcastle is forecast to be cloudy with a one-in-ten chance of rain at 4pm on 14 April 2026.,Supported,approximate_paraphrase
weather_004_R,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 13.08°C, wind 4.78 mph, 10% chance of precipitation at 2026-04-14T16:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T16:00Z,Newcastle upon Tyne,Gateshead is forecast to be cloudy with a 10% chance of rain at 4pm on 14 April 2026.,Refuted,location_mismatch
weather_004_N,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 13.08°C, wind 4.78 mph, 10% chance of precipitation at 2026-04-14T16:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T16:00Z,Newcastle upon Tyne,Newcastle is forecast to be cloudy with a 10% chance of rain at 9pm on 14 April 2026.,Not Enough Evidence,time_mismatch
weather_005_S,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 12.17°C, wind 5.5 mph, 9% chance of precipitation at 2026-04-14T17:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T17:00Z,Newcastle upon Tyne,Newcastle is expected to be cloudy with a very low chance of rain at 5pm on 14 April 2026.,Supported,approximate_paraphrase
weather_005_R,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 12.17°C, wind 5.5 mph, 9% chance of precipitation at 2026-04-14T17:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T17:00Z,Newcastle upon Tyne,Newcastle is forecast to have persistent heavy rain at 5pm on 14 April 2026.,Refuted,negation
weather_005_N,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 12.17°C, wind 5.5 mph, 9% chance of precipitation at 2026-04-14T17:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-14T17:00Z,Newcastle upon Tyne,Newcastle is expected to be cloudy with a 9% chance of rain at 10pm on 14 April 2026.,Not Enough Evidence,time_mismatch
weather_006_S,weather,"Met Office forecast for Newcastle upon Tyne: Light rain shower (day), 11.28°C, wind 3.21 mph, 27% chance of precipitation at 2026-04-13T14:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T14:00Z,Newcastle upon Tyne,Newcastle is forecast to have a light rain shower with around a one-in-four chance of rain at 2pm on 13 April 2026.,Supported,approximate_paraphrase
weather_006_R,weather,"Met Office forecast for Newcastle upon Tyne: Light rain shower (day), 11.28°C, wind 3.21 mph, 27% chance of precipitation at 2026-04-13T14:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T14:00Z,Newcastle upon Tyne,Newcastle is forecast to be clear and sunny with no rain at 2pm on 13 April 2026.,Refuted,negation
weather_006_N,weather,"Met Office forecast for Newcastle upon Tyne: Light rain shower (day), 11.28°C, wind 3.21 mph, 27% chance of precipitation at 2026-04-13T14:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T14:00Z,Newcastle upon Tyne,A light rain shower is expected in Newcastle at noon on 13 April 2026.,Not Enough Evidence,time_mismatch
weather_007_S,weather,"Met Office forecast for Newcastle upon Tyne: Light rain shower (day), 10.13°C, wind 4.3 mph, 34% chance of precipitation at 2026-04-13T16:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T16:00Z,Newcastle upon Tyne,Newcastle is forecast to have a light rain shower with around a one-in-three chance of rain at 4pm on 13 April 2026.,Supported,approximate_paraphrase
weather_007_R,weather,"Met Office forecast for Newcastle upon Tyne: Light rain shower (day), 10.13°C, wind 4.3 mph, 34% chance of precipitation at 2026-04-13T16:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T16:00Z,Newcastle upon Tyne,Newcastle is forecast to have clear skies and no rain at 4pm on 13 April 2026.,Refuted,negation
weather_007_N,weather,"Met Office forecast for Newcastle upon Tyne: Light rain shower (day), 10.13°C, wind 4.3 mph, 34% chance of precipitation at 2026-04-13T16:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T16:00Z,Newcastle upon Tyne,Newcastle is expected to have a light rain shower at 10am on 13 April 2026.,Not Enough Evidence,time_mismatch
weather_008_S,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 7.6°C, wind 2.25 mph, 7% chance of precipitation at 2026-04-13T19:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T19:00Z,Newcastle upon Tyne,Newcastle is expected to be cloudy with a very low chance of rain at 7pm on 13 April 2026.,Supported,approximate_paraphrase
weather_008_R,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 7.6°C, wind 2.25 mph, 7% chance of precipitation at 2026-04-13T19:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T19:00Z,Newcastle upon Tyne,Newcastle is forecast to have clear skies with no clouds at 7pm on 13 April 2026.,Refuted,negation
weather_008_N,weather,"Met Office forecast for Newcastle upon Tyne: Cloudy, 7.6°C, wind 2.25 mph, 7% chance of precipitation at 2026-04-13T19:00Z.",Met Office,Newcastle upon Tyne Hourly Forecast,https://weather.metoffice.gov.uk/forecast/gcybg0rne,2026-04-13T19:00Z,Newcastle upon Tyne,Newcastle is forecast to be cloudy with a 7% chance of rain at 9pm on 13 April 2026.,Not Enough Evidence,time_mismatch
roadworks_001_S,roadworks,"Roadworks on Fern Drive: Abandon approx 11m of 6"" SI and replace with approx 11m of LP PE - also a connection permit for works on March Road.. Traffic management: Some carriageway incursion. Delays unlikely. Work expected to end 2026-04-27.",Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-07T08:55:00+01:00,Fern Drive,"Roadworks are underway on Fern Drive involving pipe replacement with some carriageway incursion, and delays are considered unlikely before work ends on 27 April.",Supported,direct_support
roadworks_001_R,roadworks,"Roadworks on Fern Drive: Abandon approx 11m of 6"" SI and replace with approx 11m of LP PE - also a connection permit for works on March Road.. Traffic management: Some carriageway incursion. Delays unlikely. Work expected to end 2026-04-27.",Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-07T08:55:00+01:00,Fern Drive,"Roadworks on Fern Drive involving pipe replacement are expected to end on 30 April, with some carriageway incursion and delays considered unlikely.",Refuted,time_mismatch
roadworks_001_N,roadworks,"Roadworks on Fern Drive: Abandon approx 11m of 6"" SI and replace with approx 11m of LP PE - also a connection permit for works on March Road.. Traffic management: Some carriageway incursion. Delays unlikely. Work expected to end 2026-04-27.",Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-07T08:55:00+01:00,Fern Drive,The Fern Drive roadworks involve replacement of an ageing gas service pipe that had developed a leak detected during routine monitoring.,Not Enough Evidence,unsupported_extra_detail
roadworks_002_S,roadworks,Roadworks on Malvern Road: Demolish FW2 rebuild FW4. 15m x lowering. Delays unlikely. Work expected to end 2026-04-17.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T09:26:00+01:00,Malvern Road,"Roadworks are taking place on Malvern Road to rebuild a footway section, with delays considered unlikely before work ends on 17 April.",Supported,direct_support
roadworks_002_R,roadworks,Roadworks on Malvern Road: Demolish FW2 rebuild FW4. 15m x lowering. Delays unlikely. Work expected to end 2026-04-17.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T09:26:00+01:00,Malvern Road,"Roadworks to rebuild a footway section are taking place on Balmoral Road, with delays considered unlikely before work ends on 17 April.",Refuted,location_mismatch
roadworks_002_N,roadworks,Roadworks on Malvern Road: Demolish FW2 rebuild FW4. 15m x lowering. Delays unlikely. Work expected to end 2026-04-17.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T09:26:00+01:00,Malvern Road,The Malvern Road footway rebuilding works are being carried out by Northumbrian Water as part of a planned infrastructure renewal programme.,Not Enough Evidence,unsupported_extra_detail
roadworks_003_S,roadworks,"Roadworks on Park Road: Northumberland County Council road closure for carriageway patching.

Expected work dates 13/04/2026 - 17/04/2026 between the hours of 08:00 - 16:00.

Access maintained for pedestrians.

Road closure Order dates 13/04/2026 - 13/10/2026.. Delays likely. Work expected to end 2026-10-13.",Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T00:00:00+01:00,Park Road,"Park Road is closed for carriageway patching by Northumberland County Council, with pedestrian access maintained and work planned between 08:00 and 16:00 until 17 April.",Supported,direct_support
roadworks_003_R,roadworks,"Roadworks on Park Road: Northumberland County Council road closure for carriageway patching.

Expected work dates 13/04/2026 - 17/04/2026 between the hours of 08:00 - 16:00.

Access maintained for pedestrians.

Road closure Order dates 13/04/2026 - 13/10/2026.. Delays likely. Work expected to end 2026-10-13.",Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T00:00:00+01:00,Park Road,"Park Road is closed for carriageway patching between the hours of 07:00 and 18:00 until 17 April, with pedestrian access maintained.",Refuted,time_mismatch
roadworks_003_N,roadworks,"Roadworks on Park Road: Northumberland County Council road closure for carriageway patching.

Expected work dates 13/04/2026 - 17/04/2026 between the hours of 08:00 - 16:00.

Access maintained for pedestrians.

Road closure Order dates 13/04/2026 - 13/10/2026.. Delays likely. Work expected to end 2026-10-13.",Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T00:00:00+01:00,Park Road,The Park Road road closure for carriageway patching is part of Northumberland County Council's annual highway maintenance programme targeting the most deteriorated surfaces in the area.,Not Enough Evidence,unsupported_extra_detail
roadworks_004_S,roadworks,Roadworks on Church Road: Install fire valve. Delays unlikely. Work expected to end 2026-04-17.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T00:00:00+01:00,Church Road,"Roadworks are taking place on Church Road to install a fire valve, with delays considered unlikely before work ends on 17 April.",Supported,direct_support
roadworks_004_R,roadworks,Roadworks on Church Road: Install fire valve. Delays unlikely. Work expected to end 2026-04-17.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T00:00:00+01:00,Church Road,"Roadworks to install a fire valve are taking place on Chapel Road, with delays considered unlikely before work ends on 17 April.",Refuted,location_mismatch
roadworks_004_N,roadworks,Roadworks on Church Road: Install fire valve. Delays unlikely. Work expected to end 2026-04-17.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-13T00:00:00+01:00,Church Road,The Church Road roadworks to install a fire valve are being carried out by Northumbrian Water as part of upgrades to improve fire service water supply pressure in the area.,Not Enough Evidence,unsupported_extra_detail
roadworks_005_S,roadworks,Roadworks on Prince Consort Road: make safe collapse in back lane. Traffic management: Some carriageway incursion. Delays unlikely. Work expected to end 2026-05-15.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-01-21T08:20:00+00:00,Prince Consort Road,"Roadworks are underway on Prince Consort Road to make safe a collapsed back lane, with some carriageway incursion and delays considered unlikely before work ends on 15 May.",Supported,direct_support
roadworks_005_R,roadworks,Roadworks on Prince Consort Road: make safe collapse in back lane. Traffic management: Some carriageway incursion. Delays unlikely. Work expected to end 2026-05-15.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-01-21T08:20:00+00:00,Prince Consort Road,Roadworks on Prince Consort Road to make safe a collapsed back lane are expected to cause significant delays to traffic until 15 May.,Refuted,outcome_mismatch
roadworks_005_N,roadworks,Roadworks on Prince Consort Road: make safe collapse in back lane. Traffic management: Some carriageway incursion. Delays unlikely. Work expected to end 2026-05-15.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-01-21T08:20:00+00:00,Prince Consort Road,The collapse on Prince Consort Road back lane is believed to have been caused by underground water erosion following a period of heavy rainfall.,Not Enough Evidence,cause_mismatch
roadworks_006_S,roadworks,Roadworks on Meadowdale Crescent: Excavate on existing valve chamber to renew cover.. Delays unlikely. Work expected to end 2026-04-29.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-27T00:00:00+01:00,Meadowdale Crescent,"Roadworks are taking place on Meadowdale Crescent to renew a valve chamber cover, with delays considered unlikely before work ends on 29 April.",Supported,direct_support
roadworks_006_R,roadworks,Roadworks on Meadowdale Crescent: Excavate on existing valve chamber to renew cover.. Delays unlikely. Work expected to end 2026-04-29.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-27T00:00:00+01:00,Meadowdale Crescent,Roadworks to renew a valve chamber cover are currently taking place on Stakeford Lane with delays considered unlikely.,Refuted,location_mismatch
roadworks_006_N,roadworks,Roadworks on Meadowdale Crescent: Excavate on existing valve chamber to renew cover.. Delays unlikely. Work expected to end 2026-04-29.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-27T00:00:00+01:00,Meadowdale Crescent,The roadworks on Meadowdale Crescent are being carried out by Northumbrian Water as part of a wider network upgrade.,Not Enough Evidence,unsupported_extra_detail
roadworks_007_S,roadworks,Roadworks on Stakeford Lane: Excavate on service to install new boundary box.. Delays unlikely. Work expected to end 2026-04-21.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-15T00:00:00+01:00,Stakeford Lane,"Roadworks are underway on Stakeford Lane to install a new boundary box, with delays considered unlikely before work finishes on 21 April.",Supported,direct_support
roadworks_007_R,roadworks,Roadworks on Stakeford Lane: Excavate on service to install new boundary box.. Delays unlikely. Work expected to end 2026-04-21.,Newcastle City Council Roadworks,Roadworks in Newcastle Map (One.Network),https://community.newcastle.gov.uk/apps/showroadworks,2026-04-15T00:00:00+01:00,Stakeford Lane,"Roadworks to install a new boundary box are underway on Meadowdale Crescent, with delays considered unlikely.",Refuted,location_mismatch
